event_id,opened_ms,direction,anchor_median,target_price,trigger_exchange,winner_exchange,winner_ms,runner_up_exchange,runner_up_ms,winner_lead_ms,crossed_exchanges
0,2916.30275,DOWN,90489.43,90485.43,kraken,coinbase,2601.420,kraken,2916.303,314.883,kraken:2916.303 coinbase:2601.420
1,18611.311167,UP,90431.54,90435.54,bitfinex,binance,18489.386,bitfinex,18611.311,121.926,binance:18489.386 bitfinex:18611.311 coinbase:18712.089
2,30437.2415,UP,90510.01,90514.01,bitfinex,binance,30147.720,bitfinex,30437.242,289.522,binance:30147.720 bitfinex:30437.242
3,187692.200917,UP,90515.30,90519.30,bitfinex,binance,187010.867,bitfinex,187692.201,681.334,binance:187010.867 bitfinex:187692.201
4,191804.347042,UP,90519.49,90523.49,coinbase,binance,191340.201,bitfinex,191497.935,157.734,binance:191340.201 bitfinex:191497.935
5,200100.661958,UP,90520.18,90524.18,coinbase,bitfinex,197175.753,binance,199299.030,2123.277,binance:199299.030 bitfinex:197175.753
6,245662.722917,UP,90524.09,90528.09,bitfinex,binance,245629.883,bitfinex,245662.723,32.840,binance:245629.883 bitfinex:245662.723
7,252214.505917,DOWN,90529.24,90525.24,bitfinex,kraken,240637.736,coinbase,252109.274,11471.538,kraken:240637.736 coinbase:252109.274
8,257734.417792,DOWN,90515.56,90511.56,bitfinex,kraken,255235.800,coinbase,257686.575,2450.775,kraken:255235.800 coinbase:257686.575
9,293175.255042,UP,90507.90,90511.90,bitfinex,binance,292869.091,bitfinex,293175.255,306.164,binance:292869.091 bitfinex:293175.255
10,343907.277083,DOWN,90512.40,90508.40,coinbase,kraken,335804.328,coinbase,343907.277,8102.949,kraken:335804.328 coinbase:343907.277
11,409535.83875,UP,90506.40,90510.40,bitfinex,binance,409263.170,bitfinex,409535.839,272.669,binance:409263.170 bitfinex:409535.839
12,496803.3055,UP,90512.80,90516.80,coinbase,bitfinex,488367.623,binance,495441.118,7073.495,binance:495441.118 bitfinex:488367.623
13,550580.608458,DOWN,90516.91,90512.91,bitfinex,kraken,533330.164,coinbase,550401.868,17071.704,kraken:533330.164 coinbase:550401.868
14,667749.985417,UP,90511.46,90515.46,bitfinex,binance,667670.251,bitfinex,667749.985,79.735,binance:667670.251 bitfinex:667749.985
15,724999.556917,UP,90517.46,90521.46,coinbase,bitfinex,720527.984,binance,724660.209,4132.225,binance:724660.209 bitfinex:720527.984
